Japanese,English
今日は少し忙しいです,I’m a bit busy today.
今はこの問題を確認しています,I’m checking this issue. / I'm looking into this issue.
昨日、その件について上司と話しました,I talked to my boss about that yesterday.
時間がなかったので、まだ終わっていません,I haven’t finished it yet because I didn’t have time.
結果は私たちの想定通りでした,The results met our expectations.
いくつか確認すべき点があります,There are a few things we need to check.
もう少し時間をいただけますか？,Could you give me a little (a bit) more time?
確認でき次第、共有します,I’ll share it once it’s confirmed.
現在、解析は順調に進んでいます,The analysis is going well.
予定通り、明日までに完了する見込みです,We’re on track to finish it by tomorrow.
いくつか小さな問題はありますが、大きなリスクはありません,"There are a few minor issues, but no major risks."
このアルゴリズムはノイズに対して安定しています,This algorithm is robust to noise.
この手法は計算コストを削減できます,This method reduces computational cost.
詳細は次のスライドで説明します,I’ll go into more detail on the next slide.
ほぼ完了しています,It's nearly done.
この2つのアイテムの違いは何ですか？,What's the difference between these two items?
特にこの部分を見てください,Please check this part in particular.
私はこのタスクをアサインされています,I've been assigned to this task.
接続が切れた時に備えたこのコマンドを使ってください,Please use this command in case the connection is lost.
私は以前エアコンメーカーに勤めていました,I used to work for an air conditioning company.
小さなことから始めましょう,Let's start off with small things.
留学すると価値観が変わるってよく言われてますよね。,It is often said that studying abroad changes your values.
この画像は投稿者によって削除されました。,This picture has been deleted by the poster.
この課題を先に対応してよろしいですか？,Do you mind if I focus on this issue firstß?
今何をしているの？,What are you up to?
今は勉強する気じゃない,I don't feel like studying right now.
ここに座っても良いですか？,Do you mind if I sit here?
大したことないよ,It's not a big deal.
それは良さそうだね,That sounds good.
お寿司を食べたことがありますか？,Have you ever eaten Sushi?
電車に遅れないで,Don't be late for the train.
どうやったのですか？,How did you do that?
自転車の修理の仕方を知っていますか？,Do you know how to fix a bike?
寝る時間は何時ですか？,What time do you go to bed?
褒めていただきありがとうございます。,I appreciate the compliment.
あのテレビ番組最新エピソードはどう思う？,What do you think of the latest episode of that TV show?
今日はちょっと疲れました,I'm kind of tired today.
料理や新しいレシピ作りにハマっています。,I'm into cooking and trying out new recipes.
今ちょうどゲームを終えるところでした,I was just about to finish the game.
距離を保つようにしてください。,Make sure to keep a distance.
あなたからの返信を楽しみにしています。,I'm looking forward to your reply.
お忙しいところすみませんが、電話に出てもらえますか？,Sorry to bother you but could you pick up the phone?
ちょうど出かけようとしていたところでした。,I was just about to leave.
私のiPhoneによると、その映画は90分です。,According to my iPhone the movie is 90 minutes long.
楽しんできてね。,Have a good time.
今日はテニスをしたい気分です。,I feel like playing tennis today.
スカイダイビングをしたことがありますか？,Have you ever skydived?
昼食を食べる時間です。,It's time to eat lunch.
家に鍵を忘れてきたかもしれません。,I might have left my keys at home.
料理が得意です。,I'm good at cooking.
おっしゃっている意味がよく分かりません。,I'm not sure what you mean.
この辺りに銀行は一つもありません。,There are not any banks around here.
塩を取っていただけますか？,Can you pass me the salt please?
お願いをしてもよろしいですか？,May I ask you a favor?
ちょっとの間ペンを貸してもらえますか？,Can you lend me a pen for a moment?
ジョギングがお好きだと聞いています。,I hear that you like jogging.
医者に診てもらう必要がありますか？,Do I have to see a doctor?
この単語の読み方を知っていますか？,Do you know how to read this word?
昇進おめでとうございます。,Congratulations on your promotion.
マウスを無くしたかもしれません。,I might have lost my mouse.
